,GSM2674214,GSM2674208,GSM2674209,GSM2674210,GSM2674211,GSM2674212,GSM2674213,GSM2674215,GSM2674216,GSM2674197,GSM2674198,GSM2674199,GSM2674200,GSM2674201,GSM2674202,GSM2674203,GSM2674204,GSM2674205,GSM2674206,GSM2674207,NS_2,NS_1,AP.7,AP.8,AP.9,AP.10,CR.1,CR.2,CR.3,CR.4,CR.5,CR.6,CR.7,CR.8,CR.9,CR.10
GSM2674214,1.0,0.9181300533955059,0.952796601963937,0.9020510615794044,0.926883277536812,0.902610028666665,0.9620466165351004,0.8820309397288657,0.9036332336673311,0.8851006759194802,0.9601309261343164,0.8981135433251363,0.897596782232859,0.9013651997534748,0.9051896146013733,0.8927364293157202,0.8923108146823259,0.9165993848080563,0.8549055496707331,0.88509896909754,0.9529388264117474,0.9419756643276834,0.9268235688592573,0.9347587310944275,0.935390713365987,0.9548158699913786,0.9193851995370109,0.9322932829952517,0.923438773322687,0.9486879639871403,0.9495345977107805,0.9392509600252373,0.9339676256132591,0.9443977207839578,0.9235332045259236,0.9442384752261267
GSM2674208,0.9181300533955059,1.0,0.935917333344219,0.9229410846080487,0.9318429710355844,0.9248838749843238,0.8906623930883127,0.9164391367300193,0.9110898909395635,0.9096619116078888,0.9049796375395743,0.910808220731311,0.9089270941455191,0.8888416139468308,0.9250612997281484,0.9260070382105876,0.9287719777437119,0.9413690430920602,0.8904049634961176,0.9334317119579709,0.9004909062005483,0.9065916985888257,0.8956262750933498,0.9086277226294417,0.9145563314973566,0.922310639595653,0.9041410324423721,0.9191620276615038,0.9194628412818387,0.9174908806094663,0.9184929850815546,0.9293541929091356,0.8972118494311623,0.9110935865780444,0.9162419315051671,0.9115315192804205
GSM2674209,0.952796601963937,0.935917333344219,1.0,0.9279863242043583,0.9355458124229228,0.9381854619962846,0.9353758426610231,0.9124758203216791,0.9220136131507486,0.9208181900113088,0.9384276479379156,0.913559009395931,0.9187771116658268,0.9038783539964154,0.9359836112482128,0.922648956519209,0.9292687840749088,0.9431405755616709,0.9012313085636051,0.9206048462309231,0.9365140747921419,0.9397309565212343,0.9239162233725197,0.9318735715717815,0.9366270745185422,0.9446536839948958,0.9279304337485543,0.9434684522845215,0.9395560250901274,0.9442637035540691,0.9449232260015996,0.9523468463989737,0.9267329059663766,0.9388319898864562,0.9306905348844854,0.9409815983019872
GSM2674210,0.9020510615794044,0.9229410846080487,0.9279863242043583,1.0,0.8942025921744171,0.9411319777226638,0.858801563201817,0.9221028934476261,0.9218561090226614,0.9336341722092396,0.8961130516115201,0.908125770526614,0.91169265600403,0.8858716907805256,0.9216019152754608,0.9049469708720701,0.9249703372201413,0.9211072274739726,0.8940437260769847,0.9249060331277058,0.8757096827770121,0.8704482539240559,0.8746720680983383,0.8792193824318861,0.8844917494385783,0.8887775844926238,0.86997262840789,0.8891597826627549,0.8799939994863212,0.8895796152859758,0.8898237502189761,0.8982452889978793,0.8736017435178055,0.8808621109705522,0.8747022633311635,0.8855916337295321
GSM2674211,0.926883277536812,0.9318429710355844,0.9355458124229228,0.8942025921744171,1.0,0.909731819626804,0.9020117495692768,0.9065330715553195,0.8981807368035549,0.91599090340495,0.9095696988392736,0.9158560425612293,0.924876673331258,0.898756417327149,0.922586450763147,0.9225218969550437,0.9244458278118414,0.9505846474455474,0.8977015538287383,0.9104590823893266,0.91920805395947,0.9198563540839267,0.909895450924746,0.9318936123871595,0.9337587117670332,0.9315159989285605,0.9265205028783744,0.9353235026478866,0.9335351372282049,0.934944540508282,0.9360368774402684,0.9416407553431759,0.9215047467095531,0.9299155873146622,0.9269908605964475,0.9244319820239804
GSM2674212,0.902610028666665,0.9248838749843238,0.9381854619962846,0.9411319777226638,0.909731819626804,1.0,0.866031792389103,0.9277569523127454,0.9206486994839271,0.9330093026582856,0.885001711403337,0.8960360268275731,0.926612309269176,0.8714733537227815,0.9312101985323454,0.9119683687665209,0.9400528938588858,0.9299734903657566,0.9106298935963352,0.9249469517949894,0.8773190124080361,0.876044118056748,0.8826760620080748,0.8860174989375436,0.8992814455052842,0.9027238777968895,0.8816216933639812,0.89620632267518,0.8933612390197421,0.8998356703372341,0.9014406969198976,0.9069703380557469,0.8859813130912796,0.8898547468631824,0.8863469953211753,0.8991771750182009
GSM2674213,0.9620466165351004,0.8906623930883127,0.9353758426610231,0.858801563201817,0.9020117495692768,0.866031792389103,1.0,0.8376902518782117,0.8795425899759605,0.8457866688467995,0.9585710700697895,0.868208741436279,0.8616710306225213,0.8802517476751238,0.877252775678864,0.8530329873734962,0.8623038646389131,0.8751689136377039,0.8272964089007783,0.8448611455405937,0.9522509732236263,0.9462963957919528,0.9177467787235986,0.9213496095596527,0.9259707123803448,0.9443471588623773,0.904832654923229,0.9164793504297241,0.9123667592548843,0.9372494594300503,0.9426020974406965,0.9290865626209155,0.9247438224656096,0.9353936581366668,0.9092827288756261,0.9353821960819642
GSM2674215,0.8820309397288657,0.9164391367300193,0.9124758203216791,0.9221028934476261,0.9065330715553195,0.9277569523127454,0.8376902518782117,1.0,0.9083800184649847,0.9286740323100464,0.8654901421066998,0.9009419093049422,0.9045584000698653,0.8755584398832706,0.9100791866774427,0.9108858921763464,0.9202692246297599,0.9266520583726628,0.895547432894131,0.9252811742275184,0.8562028672901385,0.857560977740064,0.875671178278389,0.8639093117940367,0.8867973612596849,0.8756555470152851,0.8582298745653714,0.8737074238227855,0.8744150207303382,0.873155734123871,0.8824927840460178,0.8920513980507377,0.8677064470226518,0.8615491984714431,0.8621581937479696,0.8775502585067052
GSM2674216,0.9036332336673311,0.9110898909395635,0.9220136131507486,0.9218561090226614,0.8981807368035549,0.9206486994839271,0.8795425899759605,0.9083800184649847,1.0,0.9127373577189603,0.8982344015455501,0.9023962810935666,0.9053215503952902,0.9042506170003912,0.9183864324244662,0.9062782181114154,0.9111607785346173,0.91438199107734,0.903395486877253,0.8996752365337607,0.8682351877340382,0.8745390282482011,0.8696860203834305,0.8795944777844144,0.8775911548574082,0.8972591012261992,0.8700385421076626,0.8847509624818365,0.8801220937652792,0.8884869492752808,0.8911673541901649,0.8967440447468841,0.8831354678175664,0.8901449995411187,0.886106947930208,0.8883242772048999
GSM2674197,0.8851006759194802,0.9096619116078888,0.9208181900113088,0.9336341722092396,0.91599090340495,0.9330093026582856,0.8457866688467995,0.9286740323100464,0.9127373577189603,1.0,0.8756774424222145,0.9021671729431007,0.9258196963400496,0.87742394043133,0.9149801875520556,0.9145301943675039,0.9427266074472062,0.9298409402778359,0.9274886414818952,0.926938292159708,0.8741066969189167,0.8719839437914101,0.8786033977328971,0.886233723582244,0.8907512391064613,0.8869382523257542,0.881304426245569,0.8946470974309952,0.8899876022187603,0.8928746997279838,0.8950985291832894,0.9012454333151614,0.8813075015001245,0.8810692833478821,0.8792350352530489,0.8867979251267175
